"age","TBR_1_mu","TBR_1_sigma","TBR_2_mu","TBR_2_sigma","TBR_3_mu","TBR_3_sigma","TBR_4_mu","TBR_4_sigma","TBR_5_mu","TBR_5_sigma","TBR_6_mu","TBR_6_sigma","TBR_7_mu","TBR_7_sigma","TBR_8_mu","TBR_8_sigma","TBR_9_mu","TBR_9_sigma","TBR_10_mu","TBR_10_sigma","TBR_11_mu","TBR_11_sigma","TBR_12_mu","TBR_12_sigma","TBR_13_mu","TBR_13_sigma","TBR_14_mu","TBR_14_sigma","TBR_15_mu","TBR_15_sigma","TBR_16_mu","TBR_16_sigma","TBR_17_mu","TBR_17_sigma","TBR_18_mu","TBR_18_sigma","TBR_19_mu","TBR_19_sigma"
5.17,1.09334204124094,0.251381439770476,1.02149776986044,0.266341815353393,1.10367274650661,0.220719164370379,1.08589485245203,0.226451165705631,1.14037960242533,0.196634417853451,1.11544083036039,0.196333040424855,1.25310908409741,0.210823673154152,1.24879640526134,0.209735442594324,1.36247022620694,0.265379473779919,1.33873038231954,0.278440368749267,1.12997863068331,0.248369698128996,1.1270250046863,0.252597215017833,0.929456633206483,0.400361779292375,0.916146164667386,0.335259383971013,1.25716690383259,0.251863036996595,1.2510848200084,0.238139983593307,1.23825350552158,0.19205687569486,1.31510872959402,0.200343832613486,1.41490555588377,0.218641286132569
5.19966860297942,1.08952201912563,0.251515178915673,1.01860241788152,0.266457099471829,1.10016216850211,0.220900670440653,1.08214454038426,0.22684118536513,1.13727980708038,0.196845854537306,1.11219041177369,0.196542627705677,1.25062457466958,0.211024330654573,1.24657903683754,0.209949171175536,1.357577346208,0.265512413669603,1.33414498858935,0.278562418707368,1.12643947181148,0.248390289856367,1.12342551915992,0.252646999174273,0.926845810804338,0.399816737788724,0.913341078117466,0.335209376448652,1.25350968152452,0.251876129003591,1.24780364420329,0.23831153088105,1.23498518056084,0.192567187125654,1.31384745592456,0.20054177795551,1.41244791083929,0.218801021568599
5.22950746243906,1.08570228943193,0.251648989163948,1.01570710249874,0.266572433444386,1.09665124946992,0.221082289587582,1.07839413823188,0.227231671645807,1.13417846005227,0.197057518539248,1.10893883126124,0.196752438686929,1.24813611875527,0.211225179106083,1.24435666667921,0.210163117532994,1.35268479117959,0.265645395035756,1.32955978304745,0.278684495565754,1.12290047966335,0.248410875544285,1.11982626587158,0.252696713100495,0.924235052952249,0.399272343195337,0.910536277195257,0.335159376355598,1.24985182412034,0.251889174079226,1.24452077020565,0.238483191239014,1.23171652963853,0.193078646383153,1.3125805964573,0.200739918838534,1.40998363423402,0.218960873673051
5.25951755541411,1.08188288881918,0.25178287054806,1.01281182550121,0.266687817287931,1.09313995980381,0.221264017957133,1.07464364428032,0.227622603580711,1.13107538914811,0.197269410100108,1.10568596022231,0.196962473603666,1.24564325609514,0.211426218687437,1.2421287012354,0.210377281886469,1.34779257487065,0.265778415039802,1.32497474249587,0.278806596395267,1.11936166472771,0.248431454389755,1.11622726903322,0.252746348561957,0.921624365364231,0.398728585524262,0.907731790971127,0.335109383688553,1.24619326884502,0.251902167265716,1.24123601424715,0.238654963361175,1.22844751560381,0.193591233811584,1.31130746677336,0.200938255452204,1.40751204513174,0.219120842528111
5.28969986454658,1.07806385662628,0.251916823099887,1.00991658846222,0.266803251018459,1.08962826011898,0.221445851101512,1.07089305138481,0.228013956437529,1.12797038971159,0.19748152946027,1.10243164561068,0.197172732690484,1.24314544707451,0.211627449576854,1.23989444184723,0.210591664455504,1.3429007204492,0.265911470480165,1.32038985069473,0.27892871786989,1.11582304065468,0.248452025430372,1.1126285562273,0.252795895908191,0.919013754994677,0.398185452652864,0.904927653825772,0.335059398443161,1.2425339390862,0.251915102651259,1.23794915619423,0.238826845858655,1.22517809275412,0.194104925959038,1.31002726874187,0.201136787985675,1.40503231536063,0.219280928215277
5.32005537811748,1.07424523582215,0.252050846851093,1.00702139397524,0.266918734651783,1.08611611251658,0.221627784318184,1.06714235522907,0.22840570421556,1.12486325383217,0.19769387686024,1.09917573205884,0.197383216182083,1.24064214142034,0.211828871952687,1.23765318069912,0.210806265459801,1.33800924991841,0.266044557944157,1.31580509010496,0.279050856451272,1.11228462193006,0.248472587683098,1.10903015690922,0.252845345055985,0.916403229067481,0.397642932478232,0.902123901404252,0.335009420615372,1.23887375721584,0.251927974175966,1.23465997299922,0.238998837193157,1.22190821629645,0.194619697894547,1.30873919119059,0.201335516628144,1.40254360923742,0.219441130816097
5.35058509007916,1.07042707043977,0.252184941833434,1.00412624512943,0.267034268203814,1.08260348174045,0.221809812900768,1.06339155385171,0.22879782098517,1.12175377874646,0.197906452540861,1.09591806813238,0.197593924313484,1.23813280024403,0.212030485993583,1.23540422725161,0.211021085119344,1.33311818285389,0.266177673994142,1.31122044119986,0.279173008582941,1.10874642276815,0.248493140187875,1.10543210067988,0.252894686012158,0.913792794674169,0.397101013383939,0.89932056883391,0.334959450201488,1.2352126479643,0.251940775907114,1.23136824770414,0.239170935773449,1.21863784357629,0.195135524595648,1.30744244024902,0.201534441569057,1.4000451176336,0.21960145041232
5.38129000008789,1.06660940451768,0.252319108078673,1.00123114501653,0.267149851690465,1.07909033254837,0.221991932127421,1.05964064530372,0.229190280640103,1.11864176171814,0.198119256743217,1.09265850241761,0.197804857319949,1.23561688471694,0.212232291878347,1.23314689105624,0.211236123654333,1.32822753881845,0.266310815185528,1.30663588444228,0.279295170702163,1.10520845738187,0.248513681984452,1.10183441714095,0.252943908776423,0.91118245890557,0.396559683816541,0.89651769123936,0.334909487197814,1.23155053607437,0.251953501911513,1.2280737633831,0.239343140003323,1.21536693195034,0.195652380760206,1.30613622213777,0.201733562998036,1.39753603156046,0.21976188708575
5.41217111353658,1.06279228209443,0.252453345618581,0.998336096728316,0.267265485127646,1.07557662969809,0.222174137260753,1.05588962763608,0.229583056895757,1.11552700001092,0.19833228970864,1.08939688350084,0.198016015436971,1.23309385601044,0.212434289785944,1.23088048166451,0.211451381285185,1.32333733737491,0.266443978066854,1.30205140029507,0.279417339240002,1.1016707399841,0.248534212112264,1.09823713589406,0.252993003340918,0.908572228852511,0.396018932283172,0.893715303745213,0.334859531600657,1.22788734628882,0.251966146254838,1.22477630311018,0.239515448281836,1.21209543877531,0.196170240803987,1.30481974307745,0.201932881104879,1.39501554202927,0.21992244091824
5.44322944158769,1.05897574720857,0.252587654484937,0.995441103356539,0.267381168531269,1.07206233794737,0.222356423547809,1.0521384988998,0.229976123288821,1.11240929088849,0.198545551678707,1.08613305996836,0.198227398900285,1.23056317529591,0.212636479895502,1.22860430862797,0.211666858232533,1.31844759808611,0.266577159179792,1.29746696922107,0.279539510621321,1.09813328478775,0.248554729610428,1.0946402865409,0.253041959690255,0.90596211160582,0.395478747351384,0.890913441476083,0.334809583406325,1.22422300335045,0.25197870300165,1.22147564995948,0.239687859003302,1.20882332140793,0.19668907885927,1.30349220928869,0.202132396079556,1.39248284005132,0.220083111991697
