"age","Valence_1_p025","Valence_1_p10","Valence_1_p25","Valence_1_p50","Valence_1_p75","Valence_1_p90","Valence_1_p975"
5.17,-0.310915498683716,0.040516,0.040516,0.351414674381332,1.15593297281127,1.15593297281127,1.46887156939033
5.19966860297942,-0.311229347579979,0.029137748014006,0.0350567924060178,0.3402829064992,1.12871796897646,1.12871796897646,1.44113879617668
5.22950746243906,-0.311673850687474,0.0179521126267199,0.0296921051676813,0.329359294679303,1.10196414817557,1.10196414817557,1.41391639659051
5.25951755541411,-0.312246909074166,0.00695772387618062,0.0244212324457908,0.31864205475186,1.07566770641021,1.07566770641021,1.38719977799163
5.28969986454658,-0.312946423808022,-0.00384678819957399,0.0192434684011464,0.308129402547088,1.04982483968203,1.05230365982129,1.36098434773983
5.32005537811748,-0.313770295957006,-0.0144627935625049,0.0141581071945486,0.297819553895206,1.02443174399264,1.03002375332282,1.33526551319491
5.35058509007916,-0.314716426589085,-0.0248916621745736,0.0091644429867978,0.287710724626435,0.999484615343678,1.00816835656813,1.31003868171668
5.38129000008789,-0.315782716772223,-0.0351347639977408,0.00426176993869445,0.277801130570993,0.974979649736778,0.986733515697182,1.28529926066492
5.41217111353658,-0.316967067574388,-0.045193468993969,-0.000550617788961467,0.268088987559097,0.950913043173566,0.965715276849934,1.26104265739944
5.44322944158769,-0.318267380063544,-0.055069147125219,-0.00527342603536942,0.258572511420968,0.927280991655673,0.945109686166347,1.23726427928004
5.47446600120632,-0.319681555307657,-0.0647631683534522,-0.00990736063972905,0.249249917986824,0.904079691184729,0.924912789786382,1.21395953366651
5.50588181519358,-0.321207494374693,-0.0742769026406296,-0.0144531274412399,0.240119423086884,0.881305337762365,0.905120633849999,1.19112382791866
5.53747791222,-0.322843098332616,-0.0836117199487134,-0.0189114322791019,0.231179242551366,0.858954127390208,0.885729264497158,1.16875256939628
5.56925532685926,-0.324586268249394,-0.0927689902396646,-0.0232829809925145,0.22242759221049,0.837022256069891,0.866734727867819,1.14684116545917
5.60121509962204,-0.326434905192991,-0.101750083475444,-0.0275684794206775,0.213862687894475,0.815505919803042,0.848133070101942,1.12538502346714
5.63335827699013,-0.328386910231374,-0.110556369618014,-0.0317686334027903,0.205482745433539,0.794401314591294,0.82992033733949,1.10437955077997
5.66568591145064,-0.330440184432507,-0.119189218629336,-0.0358841487780529,0.1972859806579,0.773704636436273,0.812092575720419,1.08382015475748
5.69819906153051,-0.332592628864357,-0.12765000047137,-0.0399157313856648,0.189270609397779,0.753412081339611,0.794645831384692,1.06370224275945
5.73089879183114,-0.334842144594888,-0.135940085106079,-0.0438640870648257,0.181434847483393,0.733519845302938,0.777576150472269,1.04402122214569
5.76378617306326,-0.337186632692068,-0.144060842495423,-0.0477299216547351,0.173776910744962,0.714024124327885,0.76087957912311,1.02477250027599
5.796862282082,-0.33962399422386,-0.152013642601364,-0.0515139409945927,0.166295015012704,0.69492111441608,0.744552163477176,1.00595148451016
5.83012820192213,-0.342152130258232,-0.159799855385864,-0.0552168509235984,0.158987376116839,0.676207011569155,0.728589949674425,0.987553582207998
5.86358502183353,-0.344768941863148,-0.167420850810883,-0.0588393572809517,0.151852209887585,0.657878011788738,0.71298898385482,0.969574200729295
5.89723383731687,-0.347472330106574,-0.174877998838384,-0.0623821659058521,0.14488773215516,0.63993031107646,0.69774531215832,0.952008747433853
5.93107575015945,-0.350260196056477,-0.182172669430327,-0.0658459826374996,0.138092158749785,0.622360105433951,0.682854980724885,0.934852629681472
5.96511186847132,-0.35313044078082,-0.189306232548674,-0.0692315133150936,0.131463705501676,0.605163590862841,0.668314035694476,0.91810125483195
5.99934330672151,-0.356080965347571,-0.196280058155387,-0.0725394637778339,0.125000588241054,0.58833696336476,0.654118523207053,0.901750030245086
6.03377118577458,-0.359109670824695,-0.203095516212426,-0.07577053986492,0.118701022798138,0.571876418941339,0.640264489402576,0.885794363280679
6.06839663292727,-0.362214458280156,-0.209753976681753,-0.0789254474155515,0.112563225003146,0.555778153594206,0.626747980421007,0.870229661298529
