"age","Valence_1_p025","Valence_1_p10","Valence_1_p25","Valence_1_p50","Valence_1_p75","Valence_1_p90","Valence_1_p975","Valence_1_mu","Valence_1_sigma"
5.17,-0.281005480387517,-0.0951502351852682,0.0711580743111678,0.255938680324716,0.440719286338263,0.607027595834699,0.792882841036948,0.255938680324716,0.273956136412495
5.19966860297942,-0.284365743224542,-0.0986747931000333,0.0674865007089633,0.252103761620268,0.436721022531573,0.602882316340569,0.788573266465078,0.252103761620268,0.273713960601528
5.22950746243906,-0.287723760517547,-0.102196960112406,0.0638174480797628,0.248271508406717,0.432725568733671,0.59873997692584,0.784266777330981,0.248271508406717,0.273471999053108
5.25951755541411,-0.291079175854849,-0.105716379926612,0.0601512726156199,0.244442276760876,0.428733280906131,0.594600933448363,0.7799637293766,0.244442276760876,0.273230251596381
5.28969986454658,-0.294431591288458,-0.109232654708195,0.0564883720493999,0.240616464302733,0.424744556556066,0.590465583313661,0.775664519893924,0.240616464302733,0.272988718063996
5.32005537811748,-0.297780591818566,-0.112745369570321,0.0528291611668432,0.236794485705709,0.420759810244575,0.586334340981739,0.771369563229984,0.236794485705709,0.272747398289425
5.35058509007916,-0.301125763322609,-0.11625411050359,0.0491740538760887,0.232976754765432,0.416779455654775,0.582207620034454,0.767079272853473,0.232976754765432,0.272506292105862
5.38129000008789,-0.304466691682907,-0.119758463503426,0.0455234640805018,0.229163685272817,0.412803906465132,0.57808583404906,0.76279406222854,0.229163685272817,0.272265399346586
5.41217111353658,-0.307802962781951,-0.123258014565368,0.0418778056833883,0.225355691018778,0.408833576354167,0.573969396602924,0.758514344819507,0.225355691018778,0.272024719844965
5.44322944158769,-0.311134162502409,-0.126752349685067,0.0382374925879948,0.221553185794229,0.404868879000462,0.569858721273524,0.754240534090866,0.221553185794229,0.271784253434455
5.47446600120632,-0.314459876727117,-0.130241054858287,0.0346029386975083,0.217756583390084,0.40091022808266,0.565754221638455,0.749973043507285,0.217756583390084,0.2715439999486
5.50588181519358,-0.317779691339088,-0.133723716080904,0.0309745579150565,0.213966297597258,0.39695803727946,0.56165631127542,0.745712286533605,0.213966297597258,0.271303959221032
5.53747791222,-0.321093192338491,-0.137199919465898,0.0273527640267155,0.210182742089671,0.393012720152627,0.55756540364524,0.741458676517833,0.210182742089671,0.271064131085469
5.56925532685926,-0.324399994478369,-0.140669279879768,0.0237379420644621,0.206406301786498,0.389074661508534,0.553481883452764,0.737212598051365,0.206406301786498,0.27082451537467
5.60121509962204,-0.327699778721673,-0.14413147840049,0.0201304108473933,0.202637295392477,0.385144179937561,0.549406069185444,0.732974369506627,0.202637295392477,0.270585111919087
5.63335827699013,-0.330992235318156,-0.147586205393,0.0165304799075029,0.198876032325084,0.381221584742665,0.545338270043168,0.728744299968323,0.198876032325084,0.270345920548935
5.66568591145064,-0.334277035611334,-0.151033132315465,0.0129384776840345,0.195122840909576,0.377307204135118,0.541278814134617,0.724522717430487,0.195122840909576,0.270106941095219
5.69819906153051,-0.337553691766672,-0.154471771444002,0.00935489180185137,0.191378208660802,0.373401525519753,0.537228188765606,0.720310109088276,0.191378208660802,0.269868173394828
5.73089879183114,-0.340821636214888,-0.157901555317969,0.00578028962438579,0.187642702834184,0.369505116043982,0.533186960986337,0.716107041883255,0.187642702834184,0.269629617287629
5.76378617306326,-0.344080300791457,-0.161321915881417,0.0022152391104289,0.183916891280565,0.365618543450701,0.529155698442547,0.711914083352587,0.183916891280565,0.269391272613577
5.796862282082,-0.347329117331991,-0.164732285078486,-0.00133969178127463,0.180201341850787,0.36174237548285,0.525134968780061,0.707731801033566,0.180201341850787,0.269153139212695
5.83012820192213,-0.350567517672234,-0.168132094853405,-0.00488393509202659,0.176496622395694,0.357877179883415,0.521125339644794,0.703560762463623,0.176496622395694,0.268915216925078
5.86358502183353,-0.353794933648067,-0.17152077715049,-0.0084169228631748,0.172803300766128,0.354023524395431,0.517127378682746,0.699401535180323,0.172803300766128,0.268677505590886
5.89723383731687,-0.357010797095504,-0.174897763914144,-0.0119380871361134,0.169121944812932,0.350181976761977,0.513141653540008,0.695254686721367,0.169121944812932,0.26844000505035
5.93107575015945,-0.360214353503644,-0.178262300737238,-0.0154466735965676,0.165453308747211,0.346353291090989,0.509168918231659,0.691120970998065,0.165453308747211,0.26820271515051
5.96511186847132,-0.363404071175054,-0.181612856007022,-0.0189411507075666,0.161798924021741,0.342538998751048,0.505210704050503,0.687001919218535,0.161798924021741,0.267965635766539
5.99934330672151,-0.366578871841223,-0.184948351550813,-0.0224204403821767,0.158159868628181,0.338740177638539,0.501268088807175,0.682898609097586,0.158159868628181,0.267728766757184
6.03377118577458,-0.36973769756136,-0.188267729524143,-0.0258834848621226,0.154537200229042,0.334957885320206,0.497342129982226,0.678812098019444,0.154537200229042,0.267492107980461
6.06839663292727,-0.372879487616372,-0.19156992930417,-0.0293292236106892,0.150931979265343,0.331193182141376,0.493433887834856,0.674743446147059,0.150931979265343,0.267255659294494
6.10322078194544,-0.376003184092795,-0.194853893073744,-0.0327565988969117,0.147345263372293,0.327447125641498,0.48954441981833,0.670693710837381,0.147345263372293,0.267019420557313
6.1382447731012,-0.379107729073826,-0.198118563012371,-0.0361645529864763,0.143778110188453,0.323720773363382,0.485674783389277,0.666663949450732,0.143778110188453,0.266783391626956
6.17346975321022,-0.382192064780864,-0.201362881437759,-0.0395520282832682,0.140231577214187,0.320015182711642,0.481826035866133,0.662655219209238,0.140231577214187,0.266547572361463
6.2088968756693,-0.385255133402266,-0.204585790634564,-0.0429179671581181,0.13670672198292,0.316331411123958,0.477999234600404,0.658668577368106,0.13670672198292,0.266311962618882
6.24452730049414,-0.388295877108527,-0.207786232869577,-0.0462613119639844,0.133204602045955,0.312670516055895,0.474195436961488,0.654705081200438,0.133204602045955,0.266076562257272
