"age","Arousal_1_mu","Arousal_1_sigma","Arousal_1_nu","Arousal_1_tau"
5.17,0.172436000350845,0.0499499927104752,-0.265265649377117,5.72938037743439
5.19966860297942,0.173084579326475,0.0501450664419707,-0.265265649377117,5.72938037743439
5.22950746243906,0.173733180639024,0.0503401877153901,-0.265265649377117,5.72938037743439
5.25951755541411,0.174381806601546,0.0505353556077812,-0.265265649377117,5.72938037743439
5.28969986454658,0.175030460239708,0.0507305691062633,-0.265265649377117,5.72938037743439
5.32005537811748,0.175679144407615,0.050925827065912,-0.265265649377117,5.72938037743439
5.35058509007916,0.176327861738759,0.0511211282817378,-0.265265649377117,5.72938037743439
5.38129000008789,0.176976614865467,0.0513164715216676,-0.265265649377117,5.72938037743439
5.41217111353658,0.177625406420071,0.0515118555266979,-0.265265649377117,5.72938037743439
5.44322944158769,0.178274239034899,0.0517072790108751,-0.265265649377117,5.72938037743439
5.47446600120632,0.178923115342283,0.0519027406612755,-0.265265649377117,5.72938037743439
5.50588181519358,0.17957203797455,0.0520982391379867,-0.265265649377117,5.72938037743439
5.53747791222,0.180221009565733,0.0522937730749102,-0.265265649377117,5.72938037743439
5.56925532685926,0.180870033167842,0.0524893412810599,-0.265265649377117,5.72938037743439
5.60121509962204,0.181519112795386,0.0526849430058895,-0.265265649377117,5.72938037743439
5.63335827699013,0.182168252597875,0.0528805775415281,-0.265265649377117,5.72938037743439
5.66568591145064,0.182817456452279,0.0530762440245136,-0.265265649377117,5.72938037743439
5.69819906153051,0.183466725941002,0.0532719404451081,-0.265265649377117,5.72938037743439
5.73089879183114,0.184116061497061,0.053467664199721,-0.265265649377117,5.72938037743439
5.76378617306326,0.18476546354489,0.0536634126465255,-0.265265649377117,5.72938037743439
5.796862282082,0.185414932508924,0.053859183109635,-0.265265649377117,5.72938037743439
5.83012820192213,0.186064468813597,0.0540549728790936,-0.265265649377117,5.72938037743439
5.86358502183353,0.186714072883345,0.0542507792108694,-0.265265649377117,5.72938037743439
5.89723383731687,0.187363745142603,0.0544465993268483,-0.265265649377117,5.72938037743439
5.93107575015945,0.188013483335524,0.0546424290865017,-0.265265649377117,5.72938037743439
5.96511186847132,0.188663274027672,0.0548382587581664,-0.265265649377117,5.72938037743439
5.99934330672151,0.189313110306195,0.0550340817752435,-0.265265649377117,5.72938037743439
6.03377118577458,0.189962985550621,0.0552298916598493,-0.265265649377117,5.72938037743439
6.06839663292727,0.190612893100514,0.0554256818582556,-0.265265649377117,5.72938037743439
6.10322078194544,0.191262826335793,0.0556214457808982,-0.265265649377117,5.72938037743439
6.1382447731012,0.191912778636327,0.0558171767823782,-0.265265649377117,5.72938037743439
6.17346975321022,0.192562743383974,0.0560128681625445,-0.265265649377117,5.72938037743439
6.2088968756693,0.193212713960116,0.0562085131653376,-0.265265649377117,5.72938037743439
6.24452730049414,0.193862683745878,0.0564041049789751,-0.265265649377117,5.72938037743439
6.28036219435729,0.194512646122426,0.0565996367361876,-0.265265649377117,5.72938037743439
6.31640273062641,0.195162594470988,0.0567951015143246,-0.265265649377117,5.72938037743439
6.35265008940263,0.195812522172798,0.056990492335428,-0.265265649377117,5.72938037743439
6.38910545755924,0.19646242260909,0.0571858021663395,-0.265265649377117,5.72938037743439
6.42577002878051,0.197112289161083,0.0573810239188116,-0.265265649377117,5.72938037743439
6.46264500360081,0.197762115209986,0.057576150449638,-0.265265649377117,5.72938037743439
6.4997315894439,0.198411894137017,0.0577711745607976,-0.265265649377117,5.72938037743439
6.53703100066247,0.199061619323391,0.057966088999592,-0.265265649377117,5.72938037743439
6.57454445857791,0.199711284149956,0.0581608864587393,-0.265265649377117,5.72938037743439
6.61227319152028,0.200360882005026,0.0583555595778378,-0.265265649377117,5.72938037743439
6.65021843486858,0.201010406182764,0.0585501009266328,-0.265265649377117,5.72938037743439
6.68838143109112,0.201659850272416,0.0587445030699208,-0.265265649377117,5.72938037743439
6.72676342978627,0.202309207633361,0.0589387584803167,-0.265265649377117,5.72938037743439
6.76536568772337,0.202958467112517,0.0591328588321272,-0.265265649377117,5.72938037743439
6.80418946888385,0.203607605905953,0.0593267938351595,-0.265265649377117,5.72938037743439
6.84323604450262,0.204256598244203,0.0595205526844276,-0.265265649377117,5.72938037743439
6.88250669310974,0.204905418497475,0.0597141245750738,-0.265265649377117,5.72938037743439
6.92200270057223,0.205554041038394,0.0599074986799571,-0.265265649377117,5.72938037743439
6.9617253601362,0.206202440239395,0.0601006641495266,-0.265265649377117,5.72938037743439
7.00167597246921,0.206850590472921,0.060293610112165,-0.265265649377117,5.72938037743439
7.04185584570281,0.207498466111419,0.0604863256745048,-0.265265649377117,5.72938037743439
7.08226629547544,0.208146041527335,0.06067879992175,-0.265265649377117,5.72938037743439
7.12290864497543,0.208793291093115,0.0608710219180055,-0.265265649377117,5.72938037743439
7.16378422498442,0.209440189181204,0.0610629807066123,-0.265265649377117,5.72938037743439
7.20489437392084,0.210086710164051,0.0612546653104889,-0.265265649377117,5.72938037743439
7.2462404378838,0.210732828414102,0.0614460647324789,-0.265265649377117,5.72938037743439
7.28782377069714,0.2113785183038,0.0616371679557048,-0.265265649377117,5.72938037743439
7.32964573395378,0.212023754205593,0.0618279639439286,-0.265265649377117,5.72938037743439
7.37170769706025,0.212668510491927,0.0620184416419174,-0.265265649377117,5.72938037743439
7.41401103728161,0.213312761535249,0.062208589975816,-0.265265649377117,5.72938037743439
7.45655713978647,0.213956481708003,0.0623983978535257,-0.265265649377117,5.72938037743439
7.4993473976924,0.214599645382638,0.0625878541650891,-0.265265649377117,5.72938037743439
7.54238321211153,0.2152422269316,0.0627769477830824,-0.265265649377117,5.72938037743439
7.5856659921964,0.215884200727243,0.0629656675629614,-0.265265649377117,5.72938037743439
7.62919715518614,0.216525541142273,0.0631540023436993,-0.265265649377117,5.72938037743439
7.67297812645286,0.217166222551637,0.0633419409491925,-0.265265649377117,5.72938037743439
7.71701033954831,0.217806219338676,0.0635294721919201,-0.265265649377117,5.72938037743439
7.76129523625085,0.218445505810958,0.0637165848290289,-0.265265649377117,5.72938037743439
